all|all
abnormality|abnormality of the vagina
vaginal|vaginal malformation
rectovaginal|rectovaginal fistula
decreased|decreased fertility
transverse|transverse vaginal septum
transverse|transverse vaginal membrane
polycystic|polycystic ovaries
polycystic|polycystic ovary
polycystic|polycystic ovary disease
sclerocystic|sclerocystic ovaries
vaginal|vaginal atresia
ovarian|ovarian gonadoblastoma
gonadoblastoma,|gonadoblastoma, female
gonadoblastoma|gonadoblastoma
aplasia|aplasia of the uterus
absent|absent uterus
abnormality|abnormality of head and neck
head|head and neck abnormality
abnormality|abnormality of the mouth
wide|wide mouth
broad|broad mouth
large|large mouth
macrostomia|macrostomia
oral|oral ulcer
high-arched|high-arched palate
high|high arched palate
high|high narrow palate
high,|high, arched palate
abnormality|abnormality of the tongue
tongue|tongue abnormality
macroglossia|macroglossia
hyperplasia|hyperplasia of the tongue
hypertrophy|hypertrophy of the tongue
large|large tongue
tongue|tongue hypertrophy
abnormality|abnormality of the lip
lip|lip abnormality
narrow|narrow mouth
microstomia|microstomia
small|small mouth 
small|small oral aperture
median|median cleft lip
midline|midline cleft lip
glossoptosis|glossoptosis
abnormality|abnormality of the oral cavity
abnormality|abnormality of the teeth
abnormal|abnormal dentition
abnormal|abnormal teeth
dental|dental abnormalities
dental|dental abnormality
dental|dental anomalies
severe|severe periodontitis
abnormality|abnormality of the gingiva
gingival|gingival abnormality
gingival|gingival fibromatosis
gingival|gingival fibroma
gingival|gingival fibrous nodules
microglossia|microglossia
hypoglossia|hypoglossia
hypoplasia|hypoplasia of the tongue
hypoplastic|hypoplastic tongue
rudimentary|rudimentary tongue
small|small tongue
abnormality|abnormality of the uvula
abnormality|abnormality of the palate
cleft|cleft palate
submucous|submucous cleft hard palate
submucosal|submucosal cleft palate
abnormality|abnormality of upper lip
abnormality|abnormality of lower lip
thick|thick lower lip vermilion
prominent|prominent lower lip
lobulated|lobulated tongue
lobulate|lobulate tongue
movement|movement abnormality of the tongue
difficulty|difficulty in tongue movements
cleft|cleft soft palate
broad|broad alveolar ridges
broad|broad alveolar margins
widened|widened alveolar ridges
short|short upper lip
narrow|narrow palate
abnormality|abnormality of oral frenula
accessory|accessory oral frenulum
extra|extra oral frenulum
supernumerary|supernumerary oral frenulum
bifid|bifid uvula
cleft|cleft uvula
uvula|uvula bifida
open|open mouth
lower|lower lip pit
abnormality|abnormality of parotid gland
absence|absence of stensen duct
absent|absent stensen duct
tongue|tongue nodules
short|short lingual frenulum
short|short tongue frenulum
pierre-robin|pierre-robin sequence
pierre|pierre robin sequence
robin|robin sequence
oral|oral cleft
oral|oral clefting
cleft|cleft upper lip
pursed|pursed lips
glossitis|glossitis
triangular|triangular mouth
triangular|triangular shaped mouth
trismus|trismus
gingival|gingival overgrowth
gingival|gingival hyperplasia
gingival|gingival hypertrophy
gum|gum hypertrophy
thin|thin lips
lip|lip telangiectasia
lip|lip telangiectases
telangiectasia|telangiectasia of the lips
thick|thick upper lip vermilion
prominent|prominent upper lip
thick|thick upper lip
thick|thick vermilion border of upper lip
broad|broad secondary alveolar ridge
secondary|secondary alveolar ridges
xerostomia|xerostomia
dry|dry mouth
reduced|reduced salivation
high|high palate
palate|palate high-arched
thin|thin upper lip vermilion
thin|thin upper lip
velopharyngeal|velopharyngeal insufficiency
velopharyngeal|velopharyngeal incompetence
furrowed|furrowed tongue
prominent|prominent tongue grooves
scrotal|scrotal tongue
gingival|gingival hyperkeratosis
hyperkeratosis,|hyperkeratosis, gingival
abnormality|abnormality of taste sensation
decreased|decreased taste sensation
decreased|decreased taste
gingival|gingival bleeding
oral|oral bleeding
tongue|tongue telangiectasia
oral|oral cavity teleangiectasia
gingivitis|gingivitis
everted|everted lower lip vermilion
drooping|drooping lower lip
eclabion|eclabion
everted|everted lower lip
everted|everted prominent lower lip
thin|thin vermilion border
thin|thin vermillion
abnormality|abnormality of the head
head|head abnormality
abnormality|abnormality of the fontanelles and cranial sutures
abnormality|abnormality of the anterior fontanelle
small|small anterior fontanelle
small|small anterior fontanel
hydrocephalus|hydrocephalus
hydrocephaly|hydrocephaly
nonsyndromal|nonsyndromal hydrocephalus
large|large fontanelles
enlarged|enlarged fontanelles
large|large fontanel
large|large fontanelle
large|large fontanels
large,|large, late-closing fontanelle
wide|wide fontanelles
abnormality|abnormality of skull size
parietal|parietal bossing
biparietal|biparietal bossing
bossing|bossing of parietal bone
trigonocephaly|trigonocephaly
brachyturricephaly|brachyturricephaly
turribrachycephaly|turribrachycephaly
abnormality|abnormality of the sinuses
sinusitis|sinusitis
brachycephaly|brachycephaly
dense|dense calvaria
microcephaly|microcephaly
decreased|decreased head circumference
reduced|reduced head circumference
small|small head circumference
progressive|progressive microcephaly
microcephaly,|microcephaly, postnatal, progressive
microcephaly,|microcephaly, progressive
acute|acute sinusitis
macrocephaly|macrocephaly
increased|increased head circumference
large|large head
large|large head circumference
macrocrania|macrocrania
wide|wide anterior fontanel
large|large anterior fontanel
large|large anterior fontanelle
large|large open anterior fontanel
large|large open anterior fontanelle
wide|wide anterior fontanelle
wide|wide open anterior fontanelle
turricephaly|turricephaly
oxycephaly|oxycephaly
abnormality|abnormality of the mastoid
mastoiditis|mastoiditis
cranial|cranial asymmetry
dolichocephaly|dolichocephaly
large|large dolichocephalic skull
scaphocephaly|scaphocephaly
turridolichocephaly|turridolichocephaly
prominent|prominent occiput
delayed|delayed cranial suture closure
broad|broad late closing cranial sutures
delayed|delayed closure of fontanel
delayed|delayed closure of fontanelles
delayed|delayed closure of the fontanelles
delayed|delayed fontanel closure
delayed|delayed fontanelle closure
late|late closing fontanelles
late|late closure of fontanelle
late-closing|late-closing fontanelle
open|open sutures
abnormality|abnormality of the face
malar|malar flattening
depressed|depressed malar region
flat|flat midface
malar|malar hypoplasia
mid-face|mid-face hypoplasia
midface|midface hypoplasia
facial|facial grimacing
small|small face
small|small facies
narrow|narrow face
narrow|narrow facies
long|long face
abnormality|abnormality of the mandible
retrognathia|retrognathia
receding|receding chin
receding|receding mandible
coarse|coarse facial features
coarse|coarse face
coarse|coarse facies
facial|facial edema
broad|broad face
abnormality|abnormality of the ocular region
epicanthus|epicanthus
epicanthal|epicanthal fold
epicanthal|epicanthal folds
epicanthic|epicanthic folds
epicanthus|epicanthus palpebralis
increased|increased facial adipose tissue
abnormality|abnormality of the philtrum
abnormal|abnormal philtrum
abnormality|abnormality of the paralabial region
broad|broad philtrum
wide|wide philtrum
abnormality|abnormality of the forehead
abnormality|abnormality of facial adipose tissue
loss|loss of facial adipose tissue
loss|loss of facial subcutaneous adipose tissue
loss|loss of subcutaneous adipose tissue from face
full|full cheeks
low|low anterior hairline
low|low frontal hairline
low-set|low-set frontal hairline
doll-like|doll-like facies
facial|facial hypotonia
mask-like|mask-like facies
amimia|amimia
expressionless|expressionless face
masklike|masklike facies
oval|oval face
abnormality|abnormality of facial musculature
mandibular|mandibular prognathia
enlarged|enlarged mandible
large|large mandible
mandible|mandible prognathism
mandibular|mandibular prognathism
prognathia|prognathia
prognathism|prognathism
prominent|prominent chin
prominent|prominent jaw
relative|relative mandibular prognathism
abnormality|abnormality of the chin
pointed|pointed chin
small|small pointed chin
microretrognathia|microretrognathia
retromicrognathia|retromicrognathia
abnormality|abnormality of the midface
round|round face
round|round facial appearance
round|round facies
abnormality|abnormality of the orbital region
hypertelorism|hypertelorism
increased|increased interpupillary distance
ocular|ocular hypertelorism
wide-set|wide-set eyes
facial|facial myokymia
smooth|smooth philtrum
flat|flat philtrum
philtrum,|philtrum, smooth
simple|simple philtrum
bird-like|bird-like facies
square|square face
short|short philtrum
facial|facial asymmetry
asymmetric|asymmetric facies
triangular|triangular face
triangular|triangular facies
abnormality|abnormality of the maxilla
hypoplasia|hypoplasia of the maxilla
hypoplastic|hypoplastic maxilla
hypoplastic|hypoplastic maxillary bones
maxillar|maxillar hypoplasia
maxillary|maxillary hypoplasia
small|small maxilla
facial|facial hemangioma
facial|facial hemangiomata
small|small chin
prominent|prominent supraorbital ridges
prominent|prominent supraorbital ridge
broad|broad forehead
wide|wide forehead
hypomimic|hypomimic face
pugilistic|pugilistic facies
sloping|sloping forehead
low,|low, sloping forehead
receding|receding forehead
receding,|receding, small forehead
sloping,|sloping, narrow forehead
narrow|narrow forehead
bitemporal|bitemporal narrowing
bitemporal|bitemporal narrowness
bitemporal|bitemporal skull narrowing
intertemporal|intertemporal narrowing
narrow|narrow bitemporal diameter
temporal|temporal narrowness
long|long philtrum
whistling|whistling appearance
micrognathia|micrognathia
hypoplastic|hypoplastic mandible
hypoplastic|hypoplastic mandible condyle
mandibular|mandibular hypoplasia
small|small jaw
small|small mandible
high|high forehead
high,|high, protruding forehead
high,|high, sloping forehead
widow's|widow's peak
small|small forehead
abnormality|abnormality of the outer ear
abnormal|abnormal pinnae
abnormality|abnormality of the auricle
ear|ear anomalies
external|external ear malformations
malformed|malformed pinnae
outer|outer ear abnormality
abnormal|abnormal location of ears
posteriorly|posteriorly rotated ears
ear,|ear, posterior angulation, increased
posteriorly|posteriorly angulated ears
posteriorly|posteriorly rotated
posteriorly|posteriorly rotated auricles
posteriorly-angulated|posteriorly-angulated ears
posteriorly-rotated|posteriorly-rotated ears
abnormality|abnormality of the inner ear
inner|inner ear abnormality
tinnitus|tinnitus
pulsatile|pulsatile tinnitus (tympanic paraganglioma)
otosclerosis|otosclerosis
abnormality|abnormality of earlobe
abnormal|abnormal earlobe
abnormality|abnormality of ear lobe
hearing|hearing abnormality
hearing|hearing impairment
congenital|congenital deafness
congenital|congenital hearing loss
deafness|deafness
hearing|hearing defect
abnormality|abnormality of the nose
low-set,|low-set, posteriorly rotated ears
low-set|low-set posteriorly rotated ears
low-set|low-set ears
low|low set ears
lowset|lowset ears
melotia|melotia
abnormality|abnormality of the middle ear
middle|middle ear abnormalities
middle|middle ear abnormality
acute|acute otitis media
abnormality|abnormality of the auditory canal
auditory|auditory canal abnormality
abnormality|abnormality of cochlea
incomplete|incomplete partition of the cochlea type ii
abnormality|abnormality of the pinna
abnormal|abnormal form of ears
abnormality|abnormality of the external ear
abnormally|abnormally shaped ears
auricular|auricular malformation
deformed|deformed auricles
deformed|deformed ears
dysplastic|dysplastic ears
malformation|malformation of auricle
malformed|malformed auricles
malformed|malformed ears
malformed|malformed external ears
minor|minor malformation of the auricles
poorly|poorly defined conchae
simple|simple ears
cupped|cupped ear
cup-shaped|cup-shaped ears
simple,|simple, cup-shaped ears
stapes|stapes ankylosis
abnormality|abnormality of periauricular region
preauricular|preauricular skin tag
periauricular|periauricular skin tag
preauricular|preauricular skin tags
preauricular|preauricular tag
preauricular|preauricular tag, isolated (skin covered and composed of elastic cartilage)
preauricular|preauricular tags
small|small earlobe
hypoplastic|hypoplastic earlobes
hypoplastic|hypoplastic lobules
large,|large, floppy ears
absent|absent earlobe
earlobe,|earlobe, absent
lobeless|lobeless ears
otitis|otitis media
chronic|chronic otitis media
otitis|otitis media, chronic
thickened|thickened helices
lop|lop ear
prominent|prominent antihelix
overfolded|overfolded helix
over-folded|over-folded helices
overfolded|overfolded ears
overfolded|overfolded helices
prelingual|prelingual sensorineural hearing impairment
deafness,|deafness, sensorineural, prelingual
prelingual|prelingual sensorineural deafness 
macrotia|macrotia
large|large ears
large|large pinnae
large|large prominent ears
large|large protruding ears
large,|large, prominent ears
large,|large, prominent pinnae
large,|large, protruding ears
large,|large, dysplastic ears
large|large dysplastic ears
stenosis|stenosis of the external auditory canal
external|external auditory canal stenosis
narrow|narrow auditory canals
narrow|narrow external auditory canals
narrow|narrow external auditory meatus
stenotic|stenotic external auditory canal
recurrent|recurrent otitis media
frequent|frequent otitis media
multiple|multiple episodes of otitis media
otitis|otitis media, recurrent
recurrent|recurrent episodes of otitis media
susceptibility|susceptibility to otitis media
conductive|conductive hearing impairment
conduction|conduction deafness
conductive|conductive deafness
conductive|conductive hearing loss
hearing|hearing loss, conductive
sensorineural|sensorineural hearing impairment
hearing|hearing loss, sensorineural
sensorineural|sensorineural deafness
progressive|progressive sensorineural hearing impairment
bilateral|bilateral progressive sensorineural hearing loss
hearing|hearing loss, progressive sensorineural
hearing|hearing loss, sensorineural, bilateral, progressive
hearing|hearing loss, sensorineural, progressive
progressive|progressive bilateral sensorineural hearing loss
sensorineural|sensorineural hearing loss, progressive
mixed|mixed hearing impairment
hearing|hearing loss, mixed
mixed|mixed hearing loss
protruding|protruding ear
prominent|prominent ear
prominent|prominent ears
atresia|atresia of the external auditory canal
absent|absent auditory canals
absent|absent external auditory canals
atretic|atretic auditory canal
atretic|atretic auditory canals
atretic|atretic external auditory canal
atretic|atretic external auditory canals
auditory|auditory canal atresia
external|external acoustic meatus atresia
external|external auditory canal atresia
external|external auditory meatal atresia
external|external auditory meatus atresia
bulbous|bulbous nose
abnormality|abnormality of the choanae
slender|slender nose
narrow|narrow nasal ridge
pinched|pinched nose
abnormality|abnormality of the nasal septum
short|short nasal septum
epistaxis|epistaxis
nose|nose bleeding
nosebleed|nosebleed
abnormality|abnormality of the nasal bridge
abnormality|abnormality of the nasal root
prominent|prominent nasal bridge
elevated|elevated nasal bridge
high|high nasal bridge
prominent|prominent nasal root
abnormality|abnormality of the nasal alae
abnormality|abnormality of the nasal ala
hypoplastic|hypoplastic nasal alae
ala|ala nasi, underdeveloped
alar|alar cartilage hypoplasia
hypoplastic|hypoplastic alae nasae
hypoplastic|hypoplastic alae nasi
hypoplastic|hypoplastic alar cartilage
hypoplastic|hypoplastic alar nasae
hypoplastic|hypoplastic nasal wings
nasal|nasal cartilage hypoplasia
thin|thin hypoplastic alae nasi
wide|wide nasal bridge
broad|broad nasal bridge
broad|broad nasal root
broadened|broadened nasal bridge
nasal|nasal bridge broad
widened|widened nasal bridge
abnormality|abnormality of the nasal mucosa
nasal|nasal mucosa telangiectasia
abnormality|abnormality of the nasal tip
depressed|depressed nasal tip
flat|flat nasal tip
flattened|flattened nasal tip
nasal|nasal tip, depressed
nasal|nasal tip, recessed
nasal|nasal tip, retruded
convex|convex nasal ridge
beaklike|beaklike protrusion
hooked|hooked nose
wide|wide nose
broad|broad nose
narrow|narrow nasal bridge
nasal| nasal bridge, thin
narrow|narrow nasal root
nasal|nasal bridge, narrow 
pear-shaped|pear-shaped nose
prominent|prominent nose
disproportionately|disproportionately large nose
large|large nose
triangular|triangular nasal tip
choanal|choanal stenosis
coanal|coanal stenosis
choanal|choanal atresia
choanal|choanal atresia or stenosis
choanal|choanal atresia/stenosis
choanal|choanal stenosis or atresia
flared|flared nostrils
flared|flared nasal alae
broad|broad nasal tip
nasal| nasal tip, wide
broad,|broad, upturned nose
nasal|nasal tip, broad
bifid|bifid nasal tip
flat|flat nose
anosmia|anosmia
narrow|narrow nose
nasal|nasal polyps
anteverted|anteverted nares
anteverted|anteverted nose
anteverted|anteverted nostrils
nasal|nasal tip, upturned
nostrils|nostrils anteverted
upturned|upturned nasal tip
upturned|upturned nose
abnormality|abnormality of the neck
webbed|webbed neck
pterygium|pterygium colli
limited|limited neck range of motion
neck|neck muscle weakness
increased|increased adipose tissue around the neck
short|short neck
gastrointestinal|gastrointestinal angiodysplasia
long|long neck
spasmodic|spasmodic torticollis
cervical|cervical dystonia
thickened|thickened nuchal skin fold
excess|excess nuchal skin
redundant|redundant nuchal skin
broad|broad neck
cystic|cystic hygroma
cystic|cystic hygroma of the neck
abnormality|abnormality of the eye
abnormality|abnormality of the retina
retinal|retinal coloboma
abnormality|abnormality of the cornea
corneal|corneal abnormalities
corneal|corneal abnormality
microcornea|microcornea
decreased|decreased corneal diameter
astigmatism|astigmatism
hyperopic|hyperopic astigmatism
megalocornea|megalocornea
increased|increased corneal diameter
strabismus|strabismus
squint|squint
congenital|congenital strabismus
retinopathy|retinopathy
abnormality|abnormality of globe location or size
deeply|deeply set eye
deep|deep set eye
deep-set|deep-set eyes
sunken|sunken eyes
keratitis|keratitis
abnormality|abnormality of the eyelid
abnormality|abnormality of the eyelids
abnormality|abnormality of the fovea
downslanted|downslanted palpebral fissures
antimongoloid|antimongoloid eye slant
antimongoloid|antimongoloid slant of palpebral fissures
antimongoloid|antimongoloid slanted palpebral fissures
down|down slanting palpebral fissures
down-slanted|down-slanted palpebral fissures
down-slanting|down-slanting palpebral fissure
down-slanting|down-slanting palpebral fissures
downslanting|downslanting palpebral fissure
downslanting|downslanting palpebral fissures
downward|downward slanted palpebral fissures
downward-slanting|downward-slanting palpebral fissures
palpebral|palpebral fissures down-slanted
recurrent|recurrent corneal erosions
corneal|corneal erosions, recurrent
corneal|corneal ulcerations
recurrent|recurrent corneal ulceration
abnormality|abnormality of eye movement
abnormal|abnormal extraocular movement
abnormal|abnormal extraocular movements
abnormal|abnormal eye motility
abnormal|abnormal eye movement
abnormal|abnormal eye movements
abnormal|abnormal ocular movements
eye|eye movement abnormalities
ocular|ocular movement abnormalities
oculomotor|oculomotor abnormalities
globe|globe retraction and deviation on abduction
blepharitis|blepharitis
abnormality|abnormality of the eyelashes
eyelash|eyelash abnormality
glaucoma|glaucoma
abnormality|abnormality of the conjunctiva
tortuosity|tortuosity of conjunctival vessels
abnormality|abnormality of vision
visual|visual impairment
decreased|decreased visual acuity
impaired|impaired vision
poor|poor vision
poor|poor visual acuity
reduced|reduced visual acuity
telecanthus|telecanthus
dystopia|dystopia canthorum
ptosis|ptosis
blepharoptosis|blepharoptosis
eyelid|eyelid ptosis
conjunctivitis|conjunctivitis
retinitis|retinitis pigmentosa
vertical|vertical supranuclear gaze palsy
abnormal|abnormal electroretinogram
abnormal|abnormal electroretinogram (erg)
abnormal|abnormal electroretinography
abnormal|abnormal erg
erg|erg abnormal
slow|slow saccadic eye movements
slow|slow saccades
abnormality|abnormality of the lens
cataract|cataract
cataracts|cataracts
lens|lens opacities
lens|lens opacity
congenital|congenital cataract
bilateral|bilateral cataracts
bilateral|bilateral congenital cataracts
cataract,|cataract, congenital
cataracts,|cataracts, lenticular, bilateral
congenital|congenital cataracts
congenital|congenital cataracts, bilateral
proptosis|proptosis
anterior|anterior bulging of the globe
exophthalmos|exophthalmos
ocular|ocular proptosis
prominent|prominent eyes
prominent|prominent globes
protruding|protruding eyes
abnormality|abnormality of tear glands or tear production
alacrima|alacrima
subcapsular|subcapsular cataract
subcapsular|subcapsular cataracts
subcapsular|subcapsular lenticular cataracts
subcapsular|subcapsular opacities
conjunctival|conjunctival telangiectasia
conjunctival|conjunctival telangiectases
telangiectasia,|telangiectasia, conjunctival
abnormality|abnormality of the iris
aniridia|aniridia
long|long eyelashes
ciliary|ciliary trichomegaly
unusually|unusually long eyelashes
anophthalmia|anophthalmia
anophthalmia,|anophthalmia, clinical
clinical|clinical anophthalmia, unilateral/bilateral
progressive|progressive visual loss
loss|loss of visual acuity
progressive|progressive loss of vision
progressive|progressive vision loss
progressive|progressive visual acuity loss
progressive|progressive visual impairment
slowly|slowly progressive visual loss
visual|visual loss, progressive
corneal|corneal crystals
chorioretinal|chorioretinal abnormality
chorioretinal|chorioretinal atrophy
chorioretinal|chorioretinal degeneration
chorioretinal|chorioretinal thinning
abnormality|abnormality of the eyebrow
sparse|sparse eyebrow
hypotrichosis|hypotrichosis of eyebrow
thin|thin eyebrows
thin,|thin, sparse eyebrows
epicanthus|epicanthus inversus
pseudopapilledema|pseudopapilledema
abnormality|abnormality of refraction
hypermetropia|hypermetropia
farsightedness|farsightedness
hyperopia|hyperopia
long-sightedness.|long-sightedness.
retinal|retinal detachment
detached|detached retina
impaired|impaired ocular adduction
optic|optic disc pallor
pale|pale optic disc
pale|pale optic disk
external|external ophthalmoplegia
ophthalmoplegia|ophthalmoplegia externa
myopia|myopia
retinal|retinal degeneration
tapetoretinal|tapetoretinal degeneration
cone-rod|cone-rod dystrophy
cone-rod|cone-rod retinal dystrophy
disconjugate|disconjugate eye movements
abnormal|abnormal conjugate eye movement
abolished|abolished electroretinogram (erg)
abolished|abolished electroretinogram
absent|absent electroretinogram
extinction|extinction of electroretinogram
extinguished|extinguished electroretinogram
no|no light-evoked response on electroretinogram
abnormality|abnormality of color vision
abnormal|abnormal color vision
tritanomaly|tritanomaly
blue-yellow|blue-yellow dyschromatopsia
dyschromatopsia,|dyschromatopsia, blue-yellow
abnormality|abnormality of the uvea
uveitis|uveitis
leukocoria|leukocoria
retinal|retinal dystrophy
buphthalmos|buphthalmos
rieger|rieger anomaly
corneal|corneal scarring
absent|absent eyelashes
atrichia|atrichia of eyelashes
keratoconus|keratoconus
lacrimal|lacrimal duct atresia
imperforate|imperforate nasolacrimal ducts
nasolacrimal|nasolacrimal duct atresia
esotropia|esotropia
convergent|convergent strabismus
chorioretinal|chorioretinal coloboma
choroidoretinal|choroidoretinal coloboma
microphthalmos|microphthalmos
microphthalmia|microphthalmia
abnormality|abnormality of saccadic eye movements
hypometric|hypometric saccades
visual|visual loss
loss|loss of vision
